#01/21/2015 Wednesday   Dals Development Computer
*16:55:30 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*16:55:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:55:33 p  1 attendance_fullreport.php>  
*16:55:33 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:55:47 p  1 attendance_fullreport.php>  
*16:55:47 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:56:01 p  1 attendance_setup.php>  
*16:56:01 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:56:05 p  1 attendance_setup.php>  
*16:56:05 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:56:05 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:56:05 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*16:56:05 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:56:06 p  1 attendance_fullreport.php>  
*16:56:06 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:56:29 p  1 attendance_fullreport.php>  
*16:56:29 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:57:25 p  1 attendance_fullreport.php>  
*16:57:25 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:57:35 p  1 attendance.php>  
*16:58:02 p  1 attendance_fullreport.php>  
*16:58:02 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:58:36 p  1 attendance_fullreport.php>  
*16:58:36 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:58:41 p  1 attendance_setup.php>  
*16:58:41 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:58:46 p  1 attendance_setup.php>  
*16:58:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:58:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:58:46 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*16:58:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:58:47 p  1 attendance_fullreport.php>  
*16:58:47 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:59:09 p  1 attendance_fullreport.php>  
*16:59:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:59:10 p  1 attendance_setup.php>  
*16:59:10 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:59:22 p  1 attendance_setup.php>  
*16:59:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:59:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:59:22 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*16:59:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:59:24 p  1 attendance_fullreport.php>  
*16:59:24 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:59:47 p  1 attendance_fullreport.php>  
*16:59:47 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*17:00:02 p  1 attendance_fullreport.php>  
*17:00:02 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*17:00:31 p  1 attendance_fullreport.php>  
*17:00:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
