#01/20/2015 Tuesday   Dals Development Computer
*14:15:14 p  1 account.php>  
*14:15:14 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:15:30 p  1 account.php>  
*14:15:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:15:40 p  1 account.php>  
*14:15:40 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:17:46 p  1 account.php>  
*14:17:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:18:09 p  1 account.php>  
*14:18:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:18:17 p  1 account.php>  
*14:18:17 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:20:51 p  1 reader.php>  
*14:20:52 p  1 reader_setup.php>  
*14:20:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:20:58 p  1 reader_setup.php>  
*14:20:58 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:20:58 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:20:58 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*14:20:58 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:21:00 p  1 account.php>  
*14:21:00 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:27:33 p  1 account.php>  
*14:27:33 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:29:36 p  1 account.php>  
*14:29:36 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:30:52 p  1 account.php>  
*14:30:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:31:31 p  1 account.php>  
*14:31:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:32:11 p  1 account.php>  
*14:32:11 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:32:40 p  1 account.php>  
*14:32:40 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:33:44 p  1 account.php>  
*14:33:44 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:33:52 p  1 account.php>  
*14:33:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:34:13 p  1 account.php>  
*14:34:13 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:34:21 p  1 account.php>  
*14:34:21 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:34:28 p  1 account.php>  
*14:34:28 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:35:13 p  1 account.php>  
*14:35:13 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:35:32 p  1 account_showscans.php>  
*14:35:33 p  1 account_setup.php>  
*14:35:39 p  1 account.php>  
*14:35:39 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:35:52 p  1 account.php>  
*14:35:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:36:03 p  1 admin.php>  
*14:36:05 p  1 admin_masquerade.php>  
*14:36:09 p  1 admin_masquerade.php>  
*14:36:09 s  1 admin_masquerade.php> User dal is attemping to masquerade as anna
*14:36:09 s  0 userlib.php->StartLogin> checking=anna, bypass=true
*14:36:09 s  0 userlib.php->StartLogin> User "anna" used bypass feature to avoid password match.
*14:36:09 s  8 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 8
*14:36:09 s  8 userlib.php->StartLogin> >>>>>>>>>>> Collier, Anna
+> New Login!  UserName=anna,   UserID=8
+> IP Address= ::1    Tags=Member
+> Browser=Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
*14:36:09 p  8 welcome.php>  
*14:36:11 p  8 account.php>  
*14:36:11 s  8 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:36:17 p  8 account_setup.php>  
*14:36:19 p  8 account_showscans.php>  
*14:37:03 p  8 account_showscans.php>  
*14:37:04 p  8 account.php>  
*14:37:04 s  8 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:37:06 p  8 account_showscans.php>  
*14:37:06 p  8 account_setup.php>  
*14:37:08 p  8 account.php>  
*14:37:08 s  8 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:37:50 p  8 reader.php>  
*14:37:54 p  8 account.php>  
*14:37:54 s  8 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:38:38 p  8 account.php>  
*14:38:38 s  8 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:38:40 p  8 attendance.php>  
*14:38:42 p  8 account.php>  
*14:38:42 s  8 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:39:01 p  8 logout.php>  
*14:39:01 s  8 logout.php> Masquerade session is over.
*14:39:01 s  0 logout.php> Attempting to re-login as dal
*14:39:01 s  0 userlib.php->StartLogin> checking=dal, bypass=true
*14:39:01 s  0 userlib.php->StartLogin> User "dal" used bypass feature to avoid password match.
*14:39:01 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 1
*14:39:01 s  1 userlib.php->StartLogin> >>>>>>>>>>> Brandon, Dalbert
+> New Login!  UserName=dal,   UserID=1
+> IP Address= ::1    Tags=Member/Editor/Admin
+> Browser=Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
*14:39:01 p  1 welcome.php>  
*14:39:03 p  1 reader.php>  
*14:39:04 p  1 reader_setup.php>  
*14:39:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:39:09 p  1 reader_setup.php>  
*14:39:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:39:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:39:09 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*14:39:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:39:11 p  1 account.php>  
*14:39:11 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:49:14 p  1 attendance.php>  
*14:49:18 p  1 attendance.php>  
*14:49:19 p  1 attendance.php>  
*14:49:20 p  1 attendance.php>  
*14:49:20 p  1 attendance.php>  
*14:49:21 p  1 attendance_uploadevents.php>  
*14:50:01 p  1 reader.php>  
*14:50:05 p  1 attendance.php>  
*14:50:17 p  1 reader.php>  
*14:50:18 p  1 reader_setup.php>  
*14:50:18 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:53:06 p  1 reader.php>  
*14:53:08 p  1 attendance.php>  
*14:53:10 p  1 attendance_uploadevents.php>  
*14:53:13 p  1 attendance_setup.php>  
*14:53:13 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:53:16 p  1 attendance_setup.php>  
*14:53:16 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:53:40 p  1 attendance_setup.php>  
*14:53:40 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:53:42 p  1 attendance_uploadevents.php>  
*14:53:46 p  1 attendance.php>  
*14:54:36 p  1 attendance.php>  
*14:54:37 p  1 attendance_setup.php>  
*14:54:37 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:54:38 p  1 attendance_uploadevents.php>  
*15:02:42 p  1 t.php>  
